ISBN,TITLE,AUTHOR,PUBLISHER,YEAR,FOUND/NOT FOUND,LINK
9784537257625,亡国のインテリジェンス : 「武器なき戦争」と日本の未来,仮野忠男,日本文芸社,2010,Not Found,No Link
4622071630,オスロからイラクへ,エドワード・W.サイード,みすず書房,2005,Not Found,No Link
9784585225119,ジェノサイドと現代世界,"石田勇治,",勉誠出版,2011,Not Found,No Link
9784805761694,グローバル化と文化の横断,"三浦信孝,",中央大学出版部,2008,Not Found,No Link
nan,ハリウッドの野望とドイツ国民映画の危機 : <パルファメト協定>をめぐる問題群,"田中雄次,",[田中雄次],2004,Not Found,No Link
nan,私たちは戦争体験をどのように受けとめ、引き継げばよいのか : 青山学院大学・女子短期大学・高等部共催第三回学内公開フォーラム : 記録報告書,同フォーラム実行委員会,青山学院大学,2007,Not Found,No Link
9784903425795,ケルゼン研究 3,長尾龍一,慈学社出版,2013,Held in None,https://id.lib.harvard.edu/alma/990098775560203941/catalog
9784910080055,「問う」を学ぶ : 答えなき時代の学問,加藤哲彦,トイビト,2021,"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/99156084643303941/catalog
9784560097564,異なる声に耳を澄ませる,東京大学教養学部,白水社,2020,"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/99155202042603941/catalog
4901909274,ディアスポラの文学,原研二,日本独文学会,2004,Not Found,No Link
nan,戦後70年目のシベリア抑留中死亡者慰霊巡拝 : かすかな記憶から確かな記録を残す,,平成27年度旧ソ連抑留中死亡者慰霊巡拝者一同 (ハバロフスク地方・ユダヤ自治州),2015,Not Found,No Link
9784130101523,イメージの記憶(かげ) = THE MEMORIES SHADOWS OF IMAGES : 危機のしるし,田中純,東京大学出版会,2022,"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/99156348170103941/catalog
9784062151078,民族化する創価学会 : ユダヤ人の来た道をたどる人々,島田裕巳,講談社,2008,"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990119857960203941/catalog
9784864051446,ナチス映画論 : ヒトラー・キッチュ・現代,"渋谷哲也,",森話社,2019,Not Found,No Link
4400321231,平和の神学 : 1938-1965,パウル・ティリッヒ,新教出版社,2003,Not Found,No Link
nan,現代英文学が志向する「平和構築」の可能性 : 歴史観・政治意識・倫理の表象研究,"早川敦子,",[早川敦子],2005,Not Found,No Link
4000112333,宗教史の可能性,池上良正,岩波書店,2004,Not Found,No Link
9784623049462,権力と暴力,"古矢旬,",ミネルヴァ書房,2007,Not Found,No Link
9784904575536,多文化社会読本 : 多様なる世界、多様なる日本,"長谷部美佳,",東京外国語大学出版会,2016,"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990148034470203941/catalog
9784750330112,ディアスポラから世界を読む : 離散を架橋するために,"赤尾光春,",明石書店,2009,Not Found,No Link
4783716110,「赤い家」物語,小岸昭,思潮社,2002,Not Found,No Link
4000247530,暴力の屈折 : 記憶と視覚の力学,マーティン・ジェイ,岩波書店,2004,Not Found,No Link
9784861104077,地域と越境 : 「共生」の社会経済史,"内田日出海,",春風社,2014,Not Found,No Link
9784622088578,フランクフルト学派のナチ・ドイツ秘密レポート,"ノイマン,",みすず書房,2019,Not Found,No Link
9784814001927,トラウマ研究 2: トラウマを共有する,"田中雅一,",京都大学学術出版会,2019,Not Found,No Link
459107594X,心うたれるほんとうにあった話2年生 : 「えがおでゴール」ほか,川村たかし,ポプラ社,2003,Not Found,No Link
9784751522066,あなたはそっとやってくる,ジャクリーン・ウッドソン,あすなろ書房,2008,Not Found,No Link
9784876561360,聖歌のめぐみ : 詩に込められた祈りと心情,天野照枝,光言社,2008,Not Found,No Link
nan,太陽をめぐる日時計の旅,沖允人,日本日時計の会,2013,Not Found,No Link
9784591121450,城,"ムシル,",ポプラ社,2010,Not Found,No Link
9784594085322,左翼グローバリズムとの対決,田中英道,育鵬社,2020,Not Found,No Link
4434035819,かわいいホロコースト,田中エリス,ミッドナイト・プレス,2003,Not Found,No Link
4791757920,悪魔の起源,エレーヌ・ペイゲルス,青土社,2000,Not Found,No Link
nan,書物の装い,安形麻理,慶應義塾大学文学部,2019,Not Found,No Link
9784906873425,そのつどの今,新田章,悠光堂,2015,Not Found,No Link
9784862657237,東ドイツ映画 : デーファと映画史,ゼバスティアン・ハイドゥシュケ,鳥影社・ロゴス企画,2018,Not Found,No Link
nan,教育と文化 : 高山信雄教授古稀記念論文集,,高山信雄教授古稀記念論文集刊行会,2004,Not Found,No Link
nan,「人間の尊厳と共生」の教育研究,福田,「人間の尊厳と共生」の教育・課題研究委員会,2002,Not Found,No Link
9784812207260,帝国と学校,"駒込武,",昭和堂,2007,"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990113231520203941/catalog
9784764711365,英文学と他者,二十世紀英文学研究会,二十世紀英文学研究会,2014,Not Found,No Link
4860181077,環境と宗教,"溝口次夫,",環境新聞社,2006,Not Found,No Link
9784846107062,永遠の絶滅収容所 : 動物虐待とホロコースト,チャールズ・パターソン,緑風出版,2007,Not Found,No Link
9784783716877,希望のエートス : 3・11以後,神山睦美,思潮社,2013,Not Found,No Link
4582702473,フロイトと非-ヨーロッパ人,エドワード・W.サイード,平凡社,2003,Not Found,No Link
9784271210276,ことばから文学へ,市川郢康,大阪教育図書,2014,Not Found,No Link
9784864711708,《ムーとユダヤ》そして《シリウス・プレアデス・オリオン》の宇宙神々の系譜 : 2014:隠れ神JAPAN〈超〉復活 : 日本の神社・聖地に封印された《太古神/真正神》を解き放て!,山田雅晴,ヒカルランド,2013,Not Found,No Link
9784584138380,世界を動かした「偽書(フェイク)」の歴史,中川右介,ベストセラーズ,2018,Not Found,No Link
9784624011970,ホモ・コントリビューエンス : 滝久雄・貢献する気持ちの研究,加藤尚武,未來社,2017,Not Found,No Link
9784584139103,ビジネス脳のつくりかた : この先20年使えて「莫大な資産」を生み出す 新装版,藤田田,ベストセラーズ,2019,Not Found,No Link
9784798913179,ミュージアムと負の記憶 : 戦争・公害・疾病・災害:人類の負の記憶をどう展示するか,竹沢尚一郎,東信堂,2015,"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990146143210203941/catalog
4947668652,生と死の神話,松村一男,リトン,2004,Not Found,No Link
9784480431882,夜の読書,湯川豊,筑摩書房,2014,Not Found,No Link
4874408664,歴史家のパレット : 佐藤眞典先生御退職記念論集,佐藤眞典先生御退職記念論集準備会,渓水社,2005,Not Found,No Link
9784894517349,頭で考える前に「やってみた」人が、うまくいく = ACTIONS SPEAK LOUDER THAN WORDS. : ユダヤ人も華僑も凌駕する「ジュガール」の法則,サチン・チョードリー,フォレスト出版,2016,Not Found,No Link
9784887084216,国家の周縁 : 特権・ネットワーク・共生の比較社会史,"田村愛理,",刀水書房,2015,"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990144441560203941/catalog
9784560083574,読書礼讃,アルベルト・マングェル,白水社,2014,Not Found,No Link
9784000246903,プシュケー : 他なるものの発明 2,ジャック・デリダ,岩波書店,2019,Not Found,No Link
4560048878 4560048932,螺鈿の手箱 : 短篇集 新装復刊,アナトール・フランス,白水社,2000,Not Found,No Link
4771018006,日中戦争を読む,中村哲夫,晃洋書房,2006,"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102860670203941/catalog
4875655274,二十一世紀日本がイスラエルになる日 : 終末は近づけり!地球温暖化への最終警告!!,田島聖士,今日の話題社,2002,Not Found,No Link
4650902169,躍動する古代ローマ世界 : 支配と解放運動をめぐって : 土井正興先生追悼論文集,倉橋良伸,理想社,2002,Not Found,No Link
4792332044,行政の未来 : 片岡寛光先生古稀祝賀,"寄本勝美,",成文堂,2006,Not Found,No Link
9784875715825,ことばの響き : 英語フィロロジーと言語学,"今井光規,",開文社出版,2008,Not Found,No Link
9784800252883,10分で読める世界一の怪盗ルパン,モーリス・ルブラン,宝島社,2016,Not Found,No Link
